name,isin,as_of_date
TUBE INVESTMENTS OF INDIA LTD,INE974X01010,2026-06-30
HDFC BANK LTD,INE040A01034,2026-06-30
MARICO LTD,INE196A01026,2026-06-30
360 ONE WAM LTD,INE466L01038,2026-06-30
GUJARAT ENERGY LTD,INE844O01030,2026-06-30
BAJAJ HOUSING FINANCE LTD,INE377Y01014,2026-06-30
PUNJAB NATIONAL BANK LTD,INE160A01022,2026-06-30
STEEL AUTHORITY OF INDIA LTD,INE114A01011,2026-06-30
JUBILANT FOODWORKS LTD,INE797F01020,2026-06-30
ONE 97 COMMUNICATIONS LTD,INE982J01020,2026-06-30
CONTAINER CORP OF INDIA LTD,INE111A01025,2026-06-30
ADANI ENERGY SOLUTIONS LTD,INE931S01010,2026-06-30
TECH MAHINDRA LTD,INE669C01036,2026-06-30
VEDANT FASHIONS LTD,INE825V01034,2026-06-30
WHIRLPOOL OF INDIA LTD,INE716A01013,2026-06-30
CRISIL LTD,INE007A01025,2026-06-30
HINDUSTAN COPPER LTD,INE531E01026,2026-06-30
INDIAN OIL CORP LTD,INE242A01010,2026-06-30
RELAXO FOOTWEARS LTD,INE131B01039,2026-06-30
HINDUSTAN AERONAUTICS LTD,INE066F01020,2026-06-30
INDIAN RAILWAY CATERING AND TOURISM CORP LTD,INE335Y01020,2026-06-30
NTPC GREEN ENERGY LTD,INE0ONG01011,2026-06-30
UNION BANK OF INDIA LTD,INE692A01016,2026-06-30
J.K. CEMENT LTD,INE823G01014,2026-06-30
BHARAT PETROLEUM CORP LTD,INE029A01011,2026-06-30
GLENMARK PHARMACEUTICALS LTD,INE935A01035,2026-06-30
SIEMENS ENERGY INDIA LTD,INE1NPP01017,2026-06-30
BAJAJ FINANCE LTD,INE296A01032,2026-06-30
TORRENT POWER LTD,INE813H01021,2026-06-30
SUNDARAM FINANCE LTD,INE660A01013,2026-06-30
MPHASIS LTD,INE356A01018,2026-06-30
JSW INFRASTRUCTURE LTD,INE880J01026,2026-06-30
JSW STEEL LTD,INE019A01038,2026-06-30
NMDC LTD,INE584A01023,2026-06-30
AJANTA PHARMA LTD,INE031B01049,2026-06-30
KEI INDUSTRIES LTD,INE878B01027,2026-06-30
TATA STEEL LTD,INE081A01020,2026-06-30
LG ELECTRONICS INDIA LTD,INE324D01010,2026-06-30
CENTRAL DEPOSITORY SERVICES (INDIA) LTD,INE736A01011,2026-06-30
BHARAT HEAVY ELECTRICALS LTD,INE257A01026,2026-06-30
EXIDE INDUSTRIES LTD,INE302A01020,2026-06-30
MARUTI SUZUKI INDIA LTD,INE585B01010,2026-06-30
TATA CAPITAL LTD,INE976I01016,2026-06-30
PREMIER ENERGIES LTD,INE0BS701011,2026-06-30
CASTROL INDIA LTD,INE172A01027,2026-06-30
BERGER PAINTS INDIA LTD,INE463A01038,2026-06-30
HDFC LIFE INSURANCE CO LTD,INE795G01014,2026-06-30
ITC HOTELS LTD,INE379A01028,2026-06-30
HEXAWARE TECHNOLOGIES LTD,INE093A01041,2026-06-30
BRITANNIA INDUSTRIES LTD,INE216A01030,2026-06-30
POLYCAB INDIA LTD,INE455K01017,2026-06-30
POONAWALLA FINCORP LTD,INE511C01022,2026-06-30
RELIANCE INDUSTRIES LTD,INE002A01018,2026-06-30
CUMMINS INDIA LTD,INE298A01020,2026-06-30
TRENT LTD,INE849A01020,2026-06-30
LINDE INDIA LTD,INE473A01011,2026-06-30
DR. REDDY'S LABORATORIES LTD,INE089A01031,2026-06-30
HYUNDAI MOTOR INDIA LTD,INE0V6F01027,2026-06-30
HERO MOTOCORP LTD,INE158A01026,2026-06-30
PETRONET LNG LTD,INE347G01014,2026-06-30
